ts,ticker,series,fav_side,fav_price,price_bin,event_cluster_id,mid,ask_close,ask_low,quote,filled,fill_px,settle,pnl,d_mid,volume,lead_h,spread_at_fill
1786996800,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.4,0.8,0.8,0.79,False,,0.0,,-0.07500000000000001,0.0,48.0,0.8
1787007600,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.325,0.37,0.37,0.36,False,,0.0,,0.004999999999999949,0.0,45.0,0.08999999999999997
1787072400,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.32999999999999996,0.37,0.37,0.36,False,,0.0,,-0.02999999999999997,0.0,27.0,0.08000000000000002
1787086800,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.2,0.48,True,0.48,0.0,-0.48,0.0,0.0,23.0,0.38
1787090400,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,22.0,0.38
1787094000,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,21.0,0.38
1787097600,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,20.0,0.38
1787112000,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,16.0,0.38
1787115600,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,15.0,0.38
1787119200,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,14.0,0.38
1787122800,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,13.0,0.38
1787126400,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,12.0,0.38
1787130000,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,11.0,0.38
1787133600,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,10.0,0.38
1787137200,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,9.0,0.38
1787140800,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,8.0,0.38
1787144400,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,7.0,0.38
1787148000,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,6.0,0.38
1787151600,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.0,0.0,5.0,0.38
1787155200,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.3,0.49,0.49,0.48,False,,0.0,,0.034999999999999976,0.0,4.0,0.38
1787158800,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.33499999999999996,0.37,0.36,0.36,True,0.36,0.0,-0.36,0.0,0.0,3.0,0.07
1787162400,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.33499999999999996,0.37,0.37,0.36,False,,0.0,,0.0,0.0,2.0,0.07
1787166000,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.33499999999999996,0.37,0.37,0.36,False,,0.0,,0.0,0.0,1.0,0.07
1787169600,KXCCAPRICEICE-26AUG48,KXCCAPRICEICE-26,no,0.735,other,KXCCAPRICEICE-26,0.33499999999999996,0.37,0.37,0.36,False,,0.0,,,0.0,0.0,0.07
1787605200,KXPALLADIUMH-26AUG2418-T1369.49,KXPALLADIUMH-26A,no,0.975,0.95-0.99,KXPALLADIUMH-26A,0.025,0.05,0.05,0.04,False,,0.0,,-0.015000000000000001,0.0,1.0,0.05
1787608800,KXPALLADIUMH-26AUG2418-T1369.49,KXPALLADIUMH-26A,no,0.975,0.95-0.99,KXPALLADIUMH-26A,0.01,0.02,0.02,0.01,False,,0.0,,,0.0,0.0,0.02
1784570400,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.15000000000000002,0.2,0.19,0.19,True,0.19,0.0,-0.19,0.0,0.0,768.5,0.1
1784574000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.15000000000000002,0.2,0.19,0.19,True,0.19,0.0,-0.19,0.0,0.0,767.5,0.1
1784577600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.15000000000000002,0.2,0.19,0.19,True,0.19,0.0,-0.19,0.004999999999999977,0.0,766.5,0.1
1784584800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.155,0.2,0.2,0.19,False,,0.0,,0.0,0.0,764.5,0.09000000000000001
1784592000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.155,0.2,0.19,0.19,True,0.19,0.0,-0.19,-0.0050000000000000044,0.0,762.5,0.09000000000000001
1784599200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.15,0.19,0.19,0.18,False,,0.0,,-0.004999999999999977,0.0,760.5,0.08
1784610000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.14500000000000002,0.19,0.19,0.18,False,,0.0,,0.0050000000000000044,0.0,757.5,0.09
1784656800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.15000000000000002,0.2,0.19,0.19,True,0.19,0.0,-0.19,-0.0050000000000000044,0.0,744.5,0.1
1784660400,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.14500000000000002,0.19,0.19,0.18,False,,0.0,,-0.010000000000000009,0.0,743.5,0.09
1784682000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.135,0.17,0.17,0.16,False,,0.0,,-0.015000000000000013,0.0,737.5,0.07
1784692800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.12,0.16,0.16,0.15,False,,0.0,,-0.0049999999999999906,0.0,734.5,0.08
1784710800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.115,0.16,0.16,0.15,False,,0.0,,-0.0050000000000000044,0.0,729.5,0.09
1784725200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.11,0.16,0.16,0.15,False,,0.0,,0.0050000000000000044,0.0,725.5,0.1
1784728800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.115,0.16,0.16,0.15,False,,0.0,,0.0050000000000000044,0.0,724.5,0.09
1784739600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.12000000000000001,0.17,0.16,0.16,True,0.16,0.0,-0.16,-0.020000000000000004,0.0,721.5,0.1
1784761200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.1,0.13,0.13,0.12000000000000001,False,,0.0,,0.024999999999999994,0.0,715.5,0.06
1784768400,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.125,0.18,0.13,0.16999999999999998,True,0.16999999999999998,0.0,-0.16999999999999998,0.0050000000000000044,0.0,713.5,0.10999999999999999
1784772000,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.13,0.18,0.18,0.16999999999999998,False,,0.0,,0.0050000000000000044,0.0,712.5,0.09999999999999999
1784779200,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.135,0.18,0.18,0.16999999999999998,False,,0.0,,-0.0050000000000000044,0.0,710.5,0.09
1784782800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.13,0.17,0.17,0.16,False,,0.0,,0.0050000000000000044,0.0,709.5,0.08000000000000002
1784793600,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.135,0.18,0.17,0.16999999999999998,False,,0.0,,-0.0050000000000000044,0.0,706.5,0.09
1784800800,KXWTIWHEN-65-26AUG21,KXWTIWHEN-65,no,0.85,other,KXWTIWHEN-65,0.13,0.17,0.17,0.16,False,,0.0,,-0.03,0.0,704.5,0.08000000000000002
