ts,ticker,series,fav_side,fav_price,price_bin,event_cluster_id,mid,ask_close,ask_low,quote,filled,fill_px,settle,pnl,d_mid,volume
1781097480,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781097660,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781097780,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781097840,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781098080,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781098140,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781098440,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781098740,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781098800,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781098980,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781099100,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
1781099340,KXARTISTSTREAMSY-RIRI26DEC31-8.75B,KXARTISTSTREAMSY,yes,0.72,other,KXARTISTSTREAMSY,0.965,0.98,0.98,0.97,False,,1.0,,0.0,0.0
